aiport,period,date,value,countryCod,airpCod,countryDesc,airpDesc
NL_EHAM,2019-08,01/08/2019,46050,NL,EHAM,Paises Bajos,Aeropuerto Internacional de Ámsterdam-Schiphol
NL_EHAM,2019-09,01/09/2019,45248,NL,EHAM,Paises Bajos,Aeropuerto Internacional de Ámsterdam-Schiphol
NL_EHAM,2020-01,01/01/2020,38324,NL,EHAM,Paises Bajos,Aeropuerto Internacional de Ámsterdam-Schiphol
NL_EHAM,2020-02,01/02/2020,35830,NL,EHAM,Paises Bajos,Aeropuerto Internacional de Ámsterdam-Schiphol
NL_EHAM,2020-03,01/03/2020,25792,NL,EHAM,Paises Bajos,Aeropuerto Internacional de Ámsterdam-Schiphol
NL_EHAM,2020-04,01/04/2020,4543,NL,EHAM,Paises Bajos,Aeropuerto Internacional de Ámsterdam-Schiphol
NL_EHAM,2020-05,01/05/2020,6280,NL,EHAM,Paises Bajos,Aeropuerto Internacional de Ámsterdam-Schiphol
NL_EHAM,2020-06,01/06/2020,8763,NL,EHAM,Paises Bajos,Aeropuerto Internacional de Ámsterdam-Schiphol
NL_EHAM,2020-07,01/07/2020,16744,NL,EHAM,Paises Bajos,Aeropuerto Internacional de Ámsterdam-Schiphol
NL_EHAM,2020-08,01/08/2020,24054,NL,EHAM,Paises Bajos,Aeropuerto Internacional de Ámsterdam-Schiphol
NL_EHAM,2020-09,01/09/2020,22988,NL,EHAM,Paises Bajos,Aeropuerto Internacional de Ámsterdam-Schiphol
NL_EHAM,2020-10,01/10/2020,20229,NL,EHAM,Paises Bajos,Aeropuerto Internacional de Ámsterdam-Schiphol
UK_EGKK,2019-01,01/01/2019,19602,UK,EGKK,Reino Unido,Aeropuerto de Londres Gatwic
UK_EGKK,2019-02,01/02/2019,19777,UK,EGKK,Reino Unido,Aeropuerto de Londres Gatwic
UK_EGKK,2019-03,01/03/2019,22453,UK,EGKK,Reino Unido,Aeropuerto de Londres Gatwic
