aeropuerto,period,date,value,countryCod,airpCod,countryDesc,airpDesc,mes,year,año,totalDeVuelos
ES_LEBL,2019-03,1/3/2019,25935,ES,LEBL,España,Aeropuerto Josep Tarradellas Barcelona-El Prat,3,2019,2019,25935
ES_LEBL,2019-04,1/4/2019,29739,ES,LEBL,España,Aeropuerto Josep Tarradellas Barcelona-El Prat,4,2019,2019,29739
ES_LEBL,2019-05,1/5/2019,31102,ES,LEBL,España,Aeropuerto Josep Tarradellas Barcelona-El Prat,5,2019,2019,31102
ES_LEBL,2019-06,1/6/2019,32020,ES,LEBL,España,Aeropuerto Josep Tarradellas Barcelona-El Prat,6,2019,2019,32020
ES_LEBL,2019-09,1/9/2019,32091,ES,LEBL,España,Aeropuerto Josep Tarradellas Barcelona-El Prat,9,2019,2019,32091
ES_LEBL,2019-08,1/8/2019,32645,ES,LEBL,España,Aeropuerto Josep Tarradellas Barcelona-El Prat,8,2019,2019,32645
ES_LEBL,2019-07,1/7/2019,33191,ES,LEBL,España,Aeropuerto Josep Tarradellas Barcelona-El Prat,7,2019,2019,33191
ES_LEBL,2020-04,1/4/2020,1488,ES,LEBL,España,Aeropuerto Josep Tarradellas Barcelona-El Prat,4,2020,2020,1488
ES_LEBL,2020-05,1/5/2020,1763,ES,LEBL,España,Aeropuerto Josep Tarradellas Barcelona-El Prat,5,2020,2020,1763
ES_LEBL,2020-06,1/6/2020,2727,ES,LEBL,España,Aeropuerto Josep Tarradellas Barcelona-El Prat,6,2020,2020,2727
ES_LEBL,2020-07,1/7/2020,10380,ES,LEBL,España,Aeropuerto Josep Tarradellas Barcelona-El Prat,7,2020,2020,10380
ES_LEBL,2020-09,1/9/2020,10564,ES,LEBL,España,Aeropuerto Josep Tarradellas Barcelona-El Prat,9,2020,2020,10564
ES_LEBL,2020-03,1/3/2020,13812,ES,LEBL,España,Aeropuerto Josep Tarradellas Barcelona-El Prat,3,2020,2020,13812
ES_LEBL,2020-08,1/8/2020,14042,ES,LEBL,España,Aeropuerto Josep Tarradellas Barcelona-El Prat,8,2020,2020,14042
ES_LEBL,2020-02,1/2/2020,22954,ES,LEBL,España,Aeropuerto Josep Tarradellas Barcelona-El Prat,2,2020,2020,22954
ES_LEBL,2020-01,1/1/2020,23402,ES,LEBL,España,Aeropuerto Josep Tarradellas Barcelona-El Prat,1,2020,2020,23402
