rep_airp.time,periodo,fecha,mes,year,date,pais,totalVuelos,Aeropuerto
ES_LEBL,2019M08,1/8/2019,8,2019,1/8/2019,Espa�a,27142,"Aeropuerto Josep Tarradellas Barcelona-El Prat? 
Aeropuerto Josep Tarradellas Barcelona-El Prat"
ES_LEBL,2019M08,1/8/2019,8,2019,1/8/2019,Espa�a,32645,"Aeropuerto Josep Tarradellas Barcelona-El Prat? 
Aeropuerto Josep Tarradellas Barcelona-El Prat"
ES_LEBL,2019M09,1/9/2019,9,2019,1/9/2019,Espa�a,196,"Aeropuerto Josep Tarradellas Barcelona-El Prat? 
Aeropuerto Josep Tarradellas Barcelona-El Prat"
ES_LEBL,2019M09,1/9/2019,9,2019,1/9/2019,Espa�a,5074,"Aeropuerto Josep Tarradellas Barcelona-El Prat? 
Aeropuerto Josep Tarradellas Barcelona-El Prat"
ES_LEBL,2019M09,1/9/2019,9,2019,1/9/2019,Espa�a,26821,"Aeropuerto Josep Tarradellas Barcelona-El Prat? 
Aeropuerto Josep Tarradellas Barcelona-El Prat"
ES_LEBL,2019M09,1/9/2019,9,2019,1/9/2019,Espa�a,32091,"Aeropuerto Josep Tarradellas Barcelona-El Prat? 
Aeropuerto Josep Tarradellas Barcelona-El Prat"
ES_LEBL,2020M01,1/1/2020,1,2020,1/1/2020,Espa�a,76,"Aeropuerto Josep Tarradellas Barcelona-El Prat? 
Aeropuerto Josep Tarradellas Barcelona-El Prat"
ES_LEBL,2020M01,1/1/2020,1,2020,1/1/2020,Espa�a,3564,"Aeropuerto Josep Tarradellas Barcelona-El Prat? 
Aeropuerto Josep Tarradellas Barcelona-El Prat"
ES_LEBL,2020M01,1/1/2020,1,2020,1/1/2020,Espa�a,19762,"Aeropuerto Josep Tarradellas Barcelona-El Prat? 
Aeropuerto Josep Tarradellas Barcelona-El Prat"
ES_LEBL,2020M01,1/1/2020,1,2020,1/1/2020,Espa�a,23402,"Aeropuerto Josep Tarradellas Barcelona-El Prat? 
Aeropuerto Josep Tarradellas Barcelona-El Prat"
ES_LEBL,2020M02,1/2/2020,2,2020,1/2/2020,Espa�a,98,"Aeropuerto Josep Tarradellas Barcelona-El Prat? 
Aeropuerto Josep Tarradellas Barcelona-El Prat"
ES_LEBL,2020M02,1/2/2020,2,2020,1/2/2020,Espa�a,3450,"Aeropuerto Josep Tarradellas Barcelona-El Prat? 
Aeropuerto Josep Tarradellas Barcelona-El Prat"
ES_LEBL,2020M02,1/2/2020,2,2020,1/2/2020,Espa�a,19406,"Aeropuerto Josep Tarradellas Barcelona-El Prat? 
Aeropuerto Josep Tarradellas Barcelona-El Prat"
ES_LEBL,2020M02,1/2/2020,2,2020,1/2/2020,Espa�a,22954,"Aeropuerto Josep Tarradellas Barcelona-El Prat? 
Aeropuerto Josep Tarradellas Barcelona-El Prat"
ES_LEBL,2020M03,1/3/2020,3,2020,1/3/2020,Espa�a,48,"Aeropuerto Josep Tarradellas Barcelona-El Prat? 
Aeropuerto Josep Tarradellas Barcelona-El Prat"
ES_LEBL,2020M03,1/3/2020,3,2020,1/3/2020,Espa�a,1999,"Aeropuerto Josep Tarradellas Barcelona-El Prat? 
Aeropuerto Josep Tarradellas Barcelona-El Prat"
ES_LEBL,2020M03,1/3/2020,3,2020,1/3/2020,Espa�a,11765,"Aeropuerto Josep Tarradellas Barcelona-El Prat? 
Aeropuerto Josep Tarradellas Barcelona-El Prat"
ES_LEBL,2020M03,1/3/2020,3,2020,1/3/2020,Espa�a,13812,"Aeropuerto Josep Tarradellas Barcelona-El Prat? 
Aeropuerto Josep Tarradellas Barcelona-El Prat"
ES_LEBL,2020M04,1/4/2020,4,2020,1/4/2020,Espa�a,10,"Aeropuerto Josep Tarradellas Barcelona-El Prat? 
Aeropuerto Josep Tarradellas Barcelona-El Prat"
ES_LEBL,2020M04,1/4/2020,4,2020,1/4/2020,Espa�a,263,"Aeropuerto Josep Tarradellas Barcelona-El Prat? 
Aeropuerto Josep Tarradellas Barcelona-El Prat"
ES_LEBL,2020M04,1/4/2020,4,2020,1/4/2020,Espa�a,1215,"Aeropuerto Josep Tarradellas Barcelona-El Prat? 
Aeropuerto Josep Tarradellas Barcelona-El Prat"
ES_LEBL,2020M04,1/4/2020,4,2020,1/4/2020,Espa�a,1488,"Aeropuerto Josep Tarradellas Barcelona-El Prat? 
Aeropuerto Josep Tarradellas Barcelona-El Prat"
